car,person,frame,total,motorcycle,truck,kite,horse,bench,bus
5,2,211,219,0,1,0,0,0,0
6,2,212,221,0,1,0,0,0,0
6,2,213,223,1,1,0,0,0,0
8,2,214,227,2,1,0,0,0,0
8,2,215,229,3,1,0,0,0,0
7,2,216,226,1,0,0,0,0,0
7,2,217,229,3,0,0,0,0,0
5,2,218,228,3,0,0,0,0,0
6,2,219,228,1,0,0,0,0,0
6,2,220,231,2,1,0,0,0,0
6,2,221,232,3,0,0,0,0,0
6,2,222,232,2,0,0,0,0,0
5,2,223,232,2,0,0,0,0,0
6,2,224,234,2,0,0,0,0,0
6,2,225,236,2,1,0,0,0,0
6,2,226,237,2,1,0,0,0,0
5,2,227,237,2,1,0,0,0,0
5,2,228,238,2,1,0,0,0,0
5,3,229,238,1,0,0,0,0,0
7,2,230,240,1,0,0,0,0,0
7,2,231,241,1,0,0,0,0,0
5,2,232,241,2,0,0,0,0,0
6,3,233,243,1,0,0,0,0,0
6,3,234,245,1,0,0,1,0,0
7,2,235,245,1,0,0,0,0,0
5,3,236,246,1,0,0,1,0,0
6,3,237,248,2,0,0,0,0,0
7,4,238,251,2,0,0,0,0,0
8,3,239,251,1,0,0,0,0,0
5,2,240,248,1,0,0,0,0,0
6,2,241,252,2,0,0,1,0,0
6,3,242,253,1,0,0,1,0,0
6,4,243,255,1,0,0,1,0,0
5,5,244,255,1,0,0,0,0,0
6,5,245,258,2,0,0,0,0,0
6,2,246,257,3,0,0,0,0,0
6,3,247,259,3,0,0,0,0,0
6,4,248,261,3,0,0,0,0,0
5,3,249,260,3,0,0,0,0,0
7,3,250,261,1,0,0,0,0,0
5,4,251,261,1,0,0,0,0,0
7,3,252,263,1,0,0,0,0,0
5,3,253,263,2,0,0,0,0,0
5,3,254,264,2,0,0,0,0,0
6,4,255,268,3,0,0,0,0,0
6,4,256,267,1,0,0,0,0,0
6,4,257,269,2,0,0,0,0,0
6,3,258,270,3,0,0,0,0,0
5,3,259,270,3,0,0,0,0,0
5,4,260,271,2,0,0,0,0,0
6,4,261,273,2,0,0,0,0,0
5,5,262,277,5,0,0,0,0,0
5,5,263,277,4,0,0,0,0,0
5,5,264,277,3,0,0,0,0,0
6,5,265,279,3,0,0,0,0,0
6,5,266,281,4,0,0,0,0,0
6,5,267,282,4,0,0,0,0,0
5,5,268,282,4,0,0,0,0,0
4,6,269,282,3,0,0,0,0,0
3,5,270,282,4,0,0,0,0,0
4,6,271,285,4,0,0,0,0,0
5,7,272,287,3,0,0,0,0,0
4,6,273,286,3,0,0,0,0,0
4,5,274,286,3,0,0,0,0,0
5,7,275,289,2,0,0,0,0,0
6,7,276,290,1,0,0,0,0,0
6,6,277,290,1,0,0,0,0,0
6,5,278,290,1,0,0,0,0,0
6,5,279,291,1,0,0,0,0,0
8,6,280,295,1,0,0,0,0,0
7,4,281,293,1,0,0,0,0,0
7,5,282,295,1,0,0,0,0,0
8,4,283,296,1,0,0,0,0,0
5,5,284,295,1,0,0,0,0,0
5,4,285,295,1,0,0,0,0,0
7,3,286,297,1,0,0,0,0,0
5,3,287,297,2,0,0,0,0,0
6,4,288,299,1,0,0,0,0,0
6,3,289,300,2,0,0,0,0,0
5,3,290,300,2,0,0,0,0,0
5,5,291,304,3,0,0,0,0,0
8,4,292,307,3,0,0,0,0,0
5,4,293,304,2,0,0,0,0,0
5,5,294,306,2,0,0,0,0,0
6,4,295,306,1,0,0,0,0,0
5,4,296,306,1,0,0,0,0,0
5,5,297,308,1,0,0,0,0,0
5,3,298,307,1,0,0,0,0,0
4,5,299,309,1,0,0,0,0,0
4,4,300,309,1,0,0,0,0,0
4,3,301,309,1,0,0,0,0,0
4,3,302,309,0,0,0,0,0,0
4,2,303,309,0,0,0,0,0,0
4,2,304,312,2,0,0,0,0,0
4,2,305,313,2,0,0,0,0,0
5,2,306,315,2,0,0,0,0,0
3,2,307,314,2,0,0,0,0,0
3,3,308,316,2,0,0,0,0,0
3,3,309,317,2,0,0,0,0,0
5,4,310,320,1,0,0,0,0,0
4,3,311,319,1,0,0,0,0,0
5,2,312,319,0,0,0,0,0,0
5,3,313,322,0,1,0,0,0,0
5,2,314,322,0,1,0,0,0,0
6,4,315,325,0,0,0,0,0,0
4,3,316,326,2,1,0,0,0,0
4,4,317,327,2,0,0,0,0,0
5,3,318,329,2,1,0,0,0,0
4,4,319,330,2,1,0,0,0,0
4,3,320,329,1,1,0,0,0,0
6,3,321,334,3,1,0,0,0,0
6,3,322,335,3,1,0,0,0,0
6,3,323,335,2,1,0,0,0,0
6,2,324,334,1,1,0,0,0,0
6,4,325,338,2,1,0,0,0,0
6,4,326,338,1,1,0,0,0,0
5,4,327,339,2,1,0,0,0,0
4,4,328,339,1,2,0,0,0,0
5,3,329,339,1,1,0,0,0,0
6,5,330,343,1,1,0,0,0,0
6,5,331,344,1,1,0,0,0,0
5,7,332,346,0,1,0,0,0,1
5,6,333,344,0,0,0,0,0,0
5,6,334,345,0,0,0,0,0,0
6,5,335,347,1,0,0,0,0,0
6,6,336,349,1,0,0,0,0,0
7,8,337,352,0,0,0,0,0,0
7,7,338,352,0,0,0,0,0,0
7,5,339,351,0,0,0,0,0,0
6,5,340,351,0,0,0,0,0,0
6,5,341,352,0,0,0,0,0,0
5,6,342,354,1,0,0,0,0,0
5,6,343,355,1,0,0,0,0,0
5,5,344,355,1,0,0,0,0,0
5,4,345,358,4,0,0,0,0,0
5,4,346,356,1,0,0,0,0,0
5,4,347,357,1,0,0,0,0,0
5,4,348,357,0,0,0,0,0,0
5,7,349,362,1,0,0,0,0,0
7,6,350,364,1,0,0,0,0,0
6,6,351,364,1,0,0,0,0,0
7,5,352,364,0,0,0,0,0,0
5,6,353,364,0,0,0,0,0,0
6,5,354,367,1,0,0,1,0,0
6,7,355,371,2,0,0,1,0,0
5,7,356,371,3,0,0,0,0,0
6,6,357,371,2,0,0,0,0,0
6,8,358,372,0,0,0,0,0,0
5,8,359,375,3,0,0,0,0,0
5,8,360,374,1,0,0,0,0,0
5,6,361,374,2,0,0,0,0,0
4,7,362,376,3,0,0,0,0,0
4,7,363,377,3,0,0,0,0,0
4,9,364,380,3,0,0,0,0,0
4,9,365,379,1,0,0,0,0,0
2,9,366,380,3,0,0,0,0,0
2,8,367,381,4,0,0,0,0,0
2,7,368,383,6,0,0,0,0,0
2,7,369,383,5,0,0,0,0,0
2,7,370,382,3,0,0,0,0,0
2,7,371,382,2,0,0,0,0,0
2,5,372,385,6,0,0,0,0,0
2,6,373,383,2,0,0,0,0,0
2,6,374,387,5,0,0,0,0,0
3,4,375,384,2,0,0,0,0,0
3,5,376,387,3,0,0,0,0,0
3,4,377,388,4,0,0,0,0,0
3,4,378,388,3,0,0,0,0,0
4,4,379,390,3,0,0,0,0,0
4,4,380,390,2,0,0,0,0,0
4,6,381,395,4,0,0,0,0,0
4,5,382,393,2,0,0,0,0,0
4,6,383,395,2,0,0,0,0,0
4,5,384,395,2,0,0,0,0,0
4,5,385,398,4,0,0,0,0,0
3,6,386,398,3,0,0,0,0,0
2,7,387,399,3,0,0,0,0,0
3,7,388,401,3,0,0,0,0,0
3,6,389,401,3,0,0,0,0,0
